chao1,simpson,shannon,PD_whole_tree,observed_species
341F-785R-Margo100,444.7,0.967896779174,5.80328031672,15.8654,320.0
341F-785R-Margo101,385.571428571,0.805279793139,3.61239745109,16.70436,293.0
341F-785R-Margo102,385.777777778,0.952086536521,5.43688507458,16.86386,343.0
341F-785R-Margo103,390.486486486,0.888882425154,4.7513077602,14.84023,294.0
341F-785R-Margo104,364.428571429,0.952036327038,5.71707081233,14.7252,322.0
341F-785R-Margo105,341.088235294,0.945153005499,5.30508925362,14.63241,299.0
341F-785R-Margo106,368.034482759,0.941937316907,5.13465888869,15.66561,313.0
341F-785R-Margo107,428.660377358,0.93097793767,5.07844371454,17.54438,372.0
341F-785R-Margo10,454.181818182,0.979251917187,6.39293429035,16.54944,356.0
341F-785R-Margo11,346.75,0.972225068425,5.99068416099,13.78922,301.0
341F-785R-Margo12,449.459459459,0.957908650985,5.47329477635,17.45204,346.0
341F-785R-Margo13,392.736842105,0.97656005448,6.20724846824,16.30195,338.0
341F-785R-Margo14,424.20754717,0.962626646679,5.90597396476,19.1347,369.0
341F-785R-Margo15,408.769230769,0.980470542247,6.49971916612,17.83305,348.0
341F-785R-Margo16,350.896551724,0.935876111751,5.17383315134,13.35404,250.0
341F-785R-Margo17,384.666666667,0.974215986288,6.15583580221,16.69477,331.0
341F-785R-Margo18,362.153846154,0.971860111928,5.99964651493,14.27086,302.0
341F-785R-Margo19,192.476190476,0.925958607309,4.6264023119,9.14732,159.0
341F-785R-Margo1,515.0,0.960543060497,6.1482635057,20.30795,413.0
341F-785R-Margo20,386.538461538,0.963946529106,5.77043434206,16.11003,321.0
341F-785R-Margo21,408.333333333,0.949317513281,5.51551041785,15.1652,301.0
341F-785R-Margo22,390.153846154,0.976999912146,6.32194746126,15.78248,319.0
341F-785R-Margo23,370.171428571,0.961902892292,5.80791999931,15.31884,293.0
341F-785R-Margo24,494.636363636,0.984832136252,6.81146267006,21.07392,415.0
341F-785R-Margo25,302.096774194,0.919869633455,5.31177121594,13.82421,245.0
341F-785R-Margo26,405.454545455,0.962412077434,5.71948204554,16.95747,328.0
341F-785R-Margo27,398.081081081,0.954406762683,5.70878350531,16.09028,329.0
341F-785R-Margo28,230.84375,0.962990453898,5.72909355602,12.21392,191.0
341F-785R-Margo29,255.236842105,0.898526433012,4.77820396364,13.1382,228.0
341F-785R-Margo2,488.15,0.969365464948,6.11161715214,19.35013,401.0
341F-785R-Margo30,338.772727273,0.970056485604,5.84873297786,12.64426,250.0
341F-785R-Margo31,277.617647059,0.969958875869,5.83222781681,12.51825,229.0
341F-785R-Margo32,306.46875,0.932053193073,5.33224476642,13.27175,253.0
341F-785R-Margo33,437.617647059,0.983697291359,6.62571487638,17.61461,356.0
341F-785R-Margo34,416.608695652,0.95908572141,5.52646992599,18.36628,339.0
341F-785R-Margo35,336.1,0.970745532364,6.21244143063,13.96177,271.0
341F-785R-Margo36,261.1,0.965034929058,5.84615453565,13.05445,196.0
341F-785R-Margo37,383.87804878,0.972678912725,5.86829216971,15.43866,318.0
341F-785R-Margo38,487.282608696,0.974220719903,6.32728644101,20.26504,422.0
341F-785R-Margo39,328.37037037,0.946932642541,5.24833253814,13.95623,244.0
341F-785R-Margo3,396.444444444,0.979870995252,6.34675103089,16.84761,317.0
341F-785R-Margo40,266.137931034,0.962925324524,5.65316531905,13.8967,232.0
341F-785R-Margo41,321.0,0.961650994513,5.69950867222,15.24716,260.0
341F-785R-Margo42,485.783783784,0.957760686979,5.5545579247,19.04494,352.0
341F-785R-Margo43,374.8,0.957333296989,5.447597295,16.17005,301.0
341F-785R-Margo44,295.12,0.951248183824,5.35882402532,13.03918,250.0
341F-785R-Margo45,312.565217391,0.970918060411,6.12251503354,13.3778,248.0
341F-785R-Margo46,173.125,0.870787908617,3.54115398631,9.71681,103.0
341F-785R-Margo47,502.902439024,0.943324896792,5.74476258013,18.64792,394.0
341F-785R-Margo48,487.6,0.975186040686,6.40824515497,19.23699,461.0
341F-785R-Margo49,439.1875,0.966663929705,6.07524572117,17.49821,382.0
341F-785R-Margo4,401.609756098,0.97824992909,6.34282891882,17.67441,341.0
341F-785R-Margo50,446.15,0.9673478717,5.80946671231,18.91238,359.0
341F-785R-Margo51,393.277777778,0.940018291636,5.55142147117,16.64397,330.0
341F-785R-Margo52,436.263157895,0.968893314982,5.8943083669,17.24106,351.0
341F-785R-Margo53,399.27027027,0.958154525654,5.45341495658,16.73484,334.0
