OTUId,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
OTU_325,483,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_2,273,231,417,311,502,923,551,174,541,552,87,819,2935,206,352,135,102,1,73,1332,158,92,28,275,1234,1098,420,363,8,82,777,73,51,62,340,5,128,277,108,4,302,80,485,568,468,64,0,0,109,96,811,308,309,3239,1923,154,495,770,1916,485,356,414,296,210,0,674,359,1112,1135,0,384,1138,1069,7,157,80,4034,1176,1338,523,50,1702,578,2259,58,234,16,414,77,9,2903,102,741,56,108,601,90,388,918,243,5658,277,1137,39,20,489,69
OTU_6,1225,1225,138,84,121,298,1261,95,649,33,72,657,352,20,620,53,354,0,153,71,278,63,0,16,9,134,65,58,288,709,386,86,143,43,6,284,45,921,55,360,71,353,7,19,121,189,70,1,100,799,77,237,54,109,389,491,1864,444,501,104,232,186,139,33,321,1774,34,705,1680,449,85,682,176,38,2922,8,347,36,628,5509,5,1263,29,105,115,283,577,914,17,389,633,49,288,1390,100,509,8,82,1118,1895,452,29,1313,221,174,2196,445
OTU_109,79,7,1127,7,89,12,5,20,30,66,27,4,10,8,25,8,12,0,13,14,33,9,2,29,0,4,134,4,4,8,5,19,1,2,4,6,2,20,40,2,18,5,9,41,13,1,27,0,15,25,258,17,122,15,33,0,156,1,14,9,40,75,96,32,0,53,144,30,8,19,177,76,2,0,0,7,0,25,27,3,1,135,468,18,1,0,215,30,2,9,95,3,35,0,72,29,5,4,11,2,15,4,24,48,2,4,21
OTU_15,438,231,627,62,1327,871,2015,337,417,506,1430,448,128,26,143,960,1077,544,90,607,373,81,15,281,26,158,96,4,56,1288,739,347,417,752,1047,88,88,672,134,329,465,1340,630,664,46,1746,304,1,853,1324,27,582,227,285,545,2738,276,530,1307,1003,147,775,487,156,1262,2380,294,1510,2056,238,81,958,154,897,714,36,510,954,2312,1402,255,1116,292,14,68,332,1486,1222,22,46,616,322,526,688,143,920,61,1181,619,9,1775,188,447,326,110,966,1075
OTU_611,465,345,719,84,1168,874,2441,398,507,631,1344,550,157,26,94,876,1365,549,71,537,437,96,15,273,34,235,82,8,44,1052,836,337,422,576,1054,93,98,704,142,262,492,1414,538,674,34,2392,310,0,573,1509,18,674,204,433,647,2588,212,591,1281,923,235,737,510,170,1313,2116,328,1247,2220,202,126,954,145,978,624,44,564,1594,2062,1710,385,1144,162,22,80,350,1168,938,25,56,634,287,559,554,176,967,83,1103,494,13,1758,145,505,341,123,1112,1325
OTU_28,317,52,634,69,207,378,358,28,238,72,85,93,93,71,90,309,47,172,50,165,128,27,2,101,55,5,9,4,11,115,159,100,61,319,5,19,24,229,94,0,29,39,0,1,6,74,1,0,149,223,91,121,63,16,214,378,532,76,188,256,13,85,284,0,57,550,35,47,873,171,104,124,12,675,196,4,206,4,91,955,106,30,167,14,32,567,39,0,0,110,0,0,66,34,87,59,18,103,129,11,145,15,58,189,366,82,145
OTU_82,81,25,1400,18,97,8,3,24,26,74,37,10,11,6,32,9,11,0,19,21,26,16,0,38,0,9,205,3,9,5,7,35,1,7,18,5,1,45,52,3,27,7,7,49,10,0,42,0,26,25,317,10,180,12,20,0,198,9,15,6,84,94,138,34,0,74,207,47,8,43,273,120,1,0,0,6,0,28,36,8,3,170,663,20,1,0,304,33,6,7,110,11,59,0,83,31,16,2,8,2,22,7,27,38,2,8,40
OTU_93,134,15,95,40,45,102,8,0,265,4,19,58,2,7,16,46,24,0,24,13,7,30,0,0,0,0,18,0,0,147,401,22,16,71,0,5,9,36,4,0,48,16,2,3,0,0,89,0,13,345,77,163,0,21,323,254,0,17,27,1,5,200,47,1,51,169,46,1,31,30,9,167,0,6,0,0,21,0,23,17,208,33,648,6,28,2,12,0,0,0,2,8,39,52,14,50,4,2,65,0,4,2,0,9,0,54,46
OTU_16,1161,2,0,1,0,0,0,4648,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,1564,0,0,0,2240,0,0,0,0,2281,1198,0,0,0,0,3581,0,0,856,0,0,0,0,0,0,16,0,0,4112,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,166,0,0,0,2,0,0,0,429,0,1102,0,0,0,2,1,1,73,0,0,0
