,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
341F-785R-Margo100,0,0.496244045,0.500943515,0.519550643,0.428881713,0.470140516,0.471729847,0.399517696,0.419624735,0.483342122,0.46207065,0.379840983,0.496223383,0.432422437,0.418438695,0.399400171,0.444705355,0.562626137,0.406193548,0.454809525,0.385472762,0.483170209,0.44039342,0.469735289,0.50495928,0.471510032,0.431627686,0.562455108,0.53618382,0.405871321,0.497392674,0.476861794,0.489853195,0.43692981,0.47064889,0.489155382,0.529215964,0.4099517,0.478916217,0.532598689,0.472888207,0.577415677,0.479802483,0.443422689,0.478692496,0.501624365,0.532559415,0.77857088,0.424439968,0.44374775,0.429919688,0.433396312,0.463125472,0.503741639,0.468081464,0.511371259,0.46645909,0.511813332,0.521161708,0.451299011,0.464890324,0.459275888,0.373495546,0.480054608,0.514387812,0.448651524,0.437664243,0.490098348,0.426369401,0.485373463,0.50320901,0.470027615,0.463291253,0.47286585,0.528061577,0.459268356,0.438282212,0.449650919,0.479182646,0.430236379,0.465550154,0.415034267,0.42975598,0.47047752,0.527638347,0.425644515,0.401875354,0.5358315,0.60593592,0.39235355,0.479986266,0.515449653,0.443748993,0.402154779,0.457266991,0.454607015,0.41551605,0.475711417,0.387680316,0.519575245,0.477071988,0.483095408,0.493490736,0.430779235,0.443369738,0.474053256,0.40328156
341F-785R-Margo101,0.496244045,0,0.411311757,0.424401245,0.477255164,0.500101232,0.416421775,0.504950651,0.45856684,0.454388787,0.417774673,0.42367258,0.364486335,0.458645398,0.50178141,0.464923037,0.499986441,0.572032548,0.418530115,0.476233396,0.474051332,0.395140988,0.488707497,0.416165739,0.458803758,0.455656916,0.444083657,0.530885001,0.43375329,0.450063215,0.460185395,0.433169551,0.47443378,0.392774668,0.419102056,0.49404614,0.438464324,0.428430128,0.487389319,0.376286937,0.400479685,0.446918687,0.388417739,0.451875779,0.484232974,0.464182905,0.474175706,0.585922794,0.484833237,0.459570385,0.472926394,0.4014172,0.420189187,0.383868993,0.38626174,0.378415338,0.40814001,0.357564059,0.35615853,0.45968461,0.438094688,0.513046191,0.486404979,0.411920395,0.432360375,0.39157144,0.476577741,0.444072693,0.48112156,0.397420175,0.475298469,0.449753138,0.401902619,0.407167903,0.407963416,0.371429416,0.373542101,0.400134645,0.467352374,0.485496935,0.494184795,0.442303759,0.506216545,0.479128521,0.452089732,0.461339661,0.451506943,0.399285315,0.475934314,0.507393306,0.411012693,0.463988013,0.4503837,0.486971791,0.414690767,0.408652607,0.468018986,0.414610469,0.488281743,0.530517952,0.407852229,0.451420297,0.414168152,0.468247435,0.491644763,0.400987053,0.502434259
341F-785R-Margo102,0.500943515,0.411311757,0,0.430789676,0.441474875,0.431047323,0.414015108,0.465405181,0.415156645,0.461452594,0.412064017,0.460578973,0.396729911,0.445775582,0.509467904,0.378315805,0.49330875,0.540911796,0.432844083,0.474223575,0.447087926,0.488295129,0.449821393,0.42863628,0.409395677,0.454911175,0.413480305,0.49385765,0.426684329,0.335002745,0.431497911,0.469883396,0.456977765,0.3790597,0.421356723,0.473715013,0.410355905,0.469462231,0.475655543,0.391155348,0.404579712,0.383980474,0.376557035,0.412794252,0.49055739,0.424883261,0.430724764,0.60759611,0.471571624,0.437840497,0.437240996,0.393568837,0.41364216,0.395271131,0.344477615,0.38717234,0.363159949,0.346505123,0.370853671,0.424628113,0.438364121,0.434208912,0.426547528,0.438019112,0.45060699,0.413870283,0.393960566,0.467241693,0.409699003,0.374587793,0.44957248,0.422185807,0.370934354,0.375328614,0.388206161,0.397551133,0.409071758,0.417546747,0.41831968,0.421033009,0.46081532,0.420037042,0.444540793,0.451490056,0.425099266,0.389715726,0.427685372,0.454641297,0.421843441,0.498142932,0.43991183,0.396260284,0.467284586,0.435255667,0.433046152,0.348610792,0.474695126,0.409067114,0.423734582,0.475729905,0.369204647,0.445631291,0.423462459,0.406783131,0.434027908,0.377826078,0.399110311
341F-785R-Margo103,0.519550643,0.424401245,0.430789676,0,0.393576028,0.369983392,0.38251628,0.473981028,0.507986326,0.459692449,0.516623762,0.43309865,0.453892218,0.526873629,0.428740608,0.434682298,0.505153459,0.557546773,0.519829209,0.495014138,0.423836214,0.429979005,0.45299229,0.485115054,0.379881997,0.473740925,0.378997542,0.451416865,0.504976921,0.491813576,0.400121427,0.429053107,0.44751067,0.451525914,0.486447472,0.439908698,0.485267366,0.474756496,0.52055093,0.460256912,0.482963655,0.466077693,0.499531718,0.524015286,0.505422073,0.442772058,0.433272574,0.640747723,0.43077675,0.423445755,0.425032765,0.507589507,0.484126325,0.459277601,0.425615791,0.476150787,0.445283877,0.424856429,0.408373263,0.448080568,0.492875676,0.536006335,0.469332801,0.416156458,0.3752701,0.365683572,0.548161159,0.367939167,0.366158122,0.451971819,0.50576517,0.411570031,0.462442084,0.379878465,0.479171356,0.470176085,0.467969847,0.46726842,0.374174224,0.43315606,0.538035396,0.350960516,0.433120545,0.398254538,0.518118739,0.344352701,0.505637942,0.404432082,0.524593774,0.424762011,0.359204991,0.418503201,0.409346155,0.408778661,0.486431256,0.487765881,0.455765825,0.35864005,0.420221569,0.447146871,0.425296719,0.497735387,0.374157865,0.527759867,0.52875561,0.389677429,0.423078779
341F-785R-Margo104,0.428881713,0.477255164,0.441474875,0.393576028,0,0.338136864,0.429684933,0.408719365,0.470590249,0.455337685,0.480376378,0.391573101,0.482477629,0.50136569,0.428542647,0.419446262,0.446447668,0.531413484,0.484634241,0.460143303,0.419423121,0.391090255,0.438700471,0.492322024,0.356337787,0.438482735,0.399837572,0.496498692,0.507370899,0.457919834,0.393582891,0.402638362,0.431342172,0.45906908,0.475882109,0.455960627,0.47720159,0.42221154,0.50808566,0.521703791,0.451784262,0.513778056,0.454727918,0.453901079,0.525064628,0.406514582,0.449914699,0.692686869,0.420750823,0.452595335,0.374515483,0.458083641,0.48240793,0.450726923,0.408880451,0.463198136,0.466881786,0.459912476,0.460717061,0.435990694,0.489130682,0.47952696,0.416736861,0.437716441,0.388376641,0.337353733,0.515519319,0.396467185,0.37978189,0.463613665,0.486681658,0.399139735,0.497500187,0.405001778,0.475524673,0.488269185,0.453140463,0.479487867,0.362758186,0.404979708,0.505725623,0.390501821,0.430556386,0.413379776,0.497986062,0.354855778,0.455174036,0.446004296,0.548786775,0.358223948,0.379217703,0.459816502,0.410149423,0.377993885,0.464402879,0.396087888,0.405820281,0.388912784,0.346779293,0.424516218,0.449459031,0.503350801,0.425543215,0.478493802,0.500429778,0.421141939,0.380954345
341F-785R-Margo105,0.470140516,0.500101232,0.431047323,0.369983392,0.338136864,0,0.425608246,0.446389789,0.460866977,0.429450914,0.493201798,0.431347533,0.482440509,0.527036316,0.441128568,0.416950114,0.499220618,0.5001766,0.500810086,0.476704194,0.418948145,0.447901559,0.482157608,0.497944189,0.387842001,0.435215754,0.391923368,0.488983834,0.506539728,0.437442121,0.413402684,0.438423623,0.439297442,0.428399807,0.492502185,0.442715107,0.453951108,0.457488047,0.529991832,0.471722038,0.489390228,0.450612198,0.473010273,0.48996,0.516661426,0.411997766,0.406717447,0.690775451,0.447159141,0.447968209,0.405053891,0.472240849,0.508974655,0.474113769,0.419372995,0.486806273,0.471316116,0.472496083,0.45415049,0.477782316,0.523146225,0.485005523,0.433846786,0.445064747,0.406369157,0.35943127,0.529293643,0.401446378,0.343805625,0.466704513,0.496573484,0.403981467,0.499465534,0.398452278,0.464485399,0.503217248,0.47273682,0.481563144,0.380157633,0.432901463,0.489951053,0.392741405,0.404561985,0.418168633,0.48291371,0.352129556,0.46955248,0.470399659,0.541110273,0.413498872,0.3953815,0.410583626,0.448987791,0.356272055,0.486313737,0.428672181,0.466084145,0.435385107,0.373715583,0.470897575,0.441438258,0.500160577,0.430231024,0.48584884,0.474528127,0.426118151,0.386211012
341F-785R-Margo106,0.471729847,0.416421775,0.414015108,0.38251628,0.429684933,0.425608246,0,0.459740118,0.461474356,0.401218566,0.4816086,0.416334255,0.420719701,0.512673197,0.453449989,0.400843056,0.442508305,0.52558325,0.492278986,0.495178749,0.433285532,0.453119036,0.466420016,0.459137903,0.377014779,0.431294594,0.417979873,0.484969536,0.478523877,0.482409717,0.415714328,0.412936903,0.411010385,0.458946571,0.499780027,0.450917506,0.516403215,0.396442447,0.547386171,0.436205145,0.513087286,0.450697132,0.463727386,0.515687874,0.551975431,0.410673729,0.467028083,0.642171377,0.459055095,0.463362511,0.422759302,0.465271141,0.509589312,0.450551522,0.374623683,0.400440663,0.444299293,0.40041894,0.397472733,0.418901733,0.511562016,0.523978925,0.449377852,0.394464912,0.398062436,0.394459177,0.489463664,0.403230489,0.373936242,0.45792256,0.534595381,0.383073633,0.44189689,0.367449409,0.466352037,0.416255755,0.463063509,0.437198297,0.403827833,0.434351579,0.546412273,0.343652669,0.449931569,0.412139948,0.517176416,0.355510627,0.486003267,0.386559285,0.552846627,0.480963704,0.373785012,0.42633123,0.418861073,0.412101569,0.475347408,0.402871721,0.448503043,0.329172069,0.440209019,0.507079471,0.440879538,0.527159069,0.380077641,0.518064538,0.524443039,0.426898107,0.365157384
341F-785R-Margo107,0.399517696,0.504950651,0.465405181,0.473981028,0.408719365,0.446389789,0.459740118,0,0.46463794,0.471398234,0.448485789,0.392718343,0.485700909,0.449226902,0.435094373,0.380519684,0.479510465,0.598907963,0.420462782,0.460245688,0.41235361,0.449140944,0.411982127,0.467705937,0.441517514,0.438074797,0.431240436,0.494303477,0.523964794,0.423031188,0.472025263,0.483739962,0.480156699,0.413776628,0.436761845,0.479049741,0.513390202,0.402754486,0.444510635,0.536623652,0.474553936,0.524775322,0.462636172,0.422435548,0.450724011,0.480419669,0.516186677,0.726802761,0.325700233,0.401174949,0.349849006,0.44500621,0.376272408,0.462041773,0.491194299,0.463515966,0.403198668,0.494193449,0.475718736,0.447514007,0.411387796,0.427985105,0.405193976,0.427257999,0.453483056,0.369301353,0.443145663,0.451642902,0.408955926,0.432678883,0.458581972,0.442739721,0.464286173,0.455893231,0.460064622,0.44167401,0.407420295,0.462597873,0.446123918,0.364626196,0.463270317,0.416388274,0.400527235,0.408244303,0.521078409,0.398175352,0.389984892,0.511740835,0.559669206,0.365713835,0.46930443,0.454912677,0.416368289,0.394229747,0.444510553,0.440416806,0.387091129,0.419374117,0.349850475,0.41952646,0.442279379,0.462412033,0.445442122,0.421835839,0.445537881,0.431858374,0.431251486
341F-785R-Margo10,0.419624735,0.45856684,0.415156645,0.507986326,0.470590249,0.460866977,0.461474356,0.46463794,0,0.423442379,0.329779521,0.391963093,0.390447911,0.359991166,0.484536981,0.418258992,0.464742217,0.559886839,0.396385739,0.456844332,0.445169479,0.509794993,0.491025926,0.428412697,0.536455796,0.499183007,0.492945781,0.610656987,0.473809538,0.364272644,0.501292401,0.493125212,0.537155838,0.393551551,0.425706512,0.531497433,0.463746057,0.437282909,0.44118464,0.459574114,0.44385864,0.484307482,0.42853881,0.43331561,0.440155281,0.515114272,0.574782031,0.718560114,0.481676734,0.481354958,0.515356762,0.365602916,0.427325873,0.431824689,0.36230081,0.430242248,0.397855615,0.44011221,0.427729961,0.46393177,0.424981469,0.391032619,0.402267792,0.506474301,0.527268357,0.468672705,0.390236234,0.519874624,0.408948805,0.449206439,0.478201913,0.465384219,0.432003881,0.49972027,0.430613581,0.42324649,0.368756118,0.395797077,0.490687485,0.451972337,0.417765721,0.418503567,0.452183803,0.503963818,0.415529369,0.44849052,0.386800369,0.574976753,0.535604096,0.474388275,0.470146361,0.521582262,0.479505446,0.401429717,0.39382925,0.334252939,0.486452139,0.478905895,0.453540477,0.556765841,0.415887763,0.474401528,0.516757232,0.395435524,0.382165206,0.400925357,0.422851846
341F-785R-Margo11,0.483342122,0.454388787,0.461452594,0.459692449,0.455337685,0.429450914,0.401218566,0.471398234,0.423442379,0,0.430469172,0.409933277,0.455396438,0.476024898,0.454070506,0.412460864,0.446498181,0.484441376,0.497428892,0.417139684,0.428393162,0.43273275,0.492585158,0.510541689,0.456513002,0.47487035,0.447077619,0.556361983,0.498386992,0.48890803,0.425016713,0.406010723,0.449783315,0.479176705,0.496448906,0.467580122,0.528456011,0.40068858,0.561414225,0.520064285,0.53935125,0.523632559,0.521699463,0.512325114,0.57353995,0.482371149,0.494870252,0.735224486,0.494251284,0.455492936,0.488773062,0.478207898,0.518595697,0.46652044,0.45972309,0.442093605,0.505781304,0.487440447,0.454399339,0.453094241,0.541444881,0.544026735,0.396094874,0.454211073,0.485546841,0.392450263,0.489964413,0.438610756,0.424190043,0.512552455,0.570523383,0.418929367,0.508782626,0.423679468,0.47480569,0.477744114,0.502539137,0.489505569,0.434849062,0.465116155,0.507902214,0.387565225,0.470232417,0.489329639,0.463712595,0.402744549,0.530984876,0.44491714,0.575240897,0.496665944,0.430733126,0.49995507,0.449377283,0.420840835,0.499196929,0.420497695,0.462034881,0.426569643,0.440297436,0.532857322,0.468262058,0.525882728,0.457114832,0.518070546,0.531268083,0.486550178,0.417433886
