,341F-785R-Margo100,341F-785R-Margo101,341F-785R-Margo102,341F-785R-Margo103,341F-785R-Margo104,341F-785R-Margo105,341F-785R-Margo106,341F-785R-Margo107,341F-785R-Margo10,341F-785R-Margo11,341F-785R-Margo12,341F-785R-Margo13,341F-785R-Margo14,341F-785R-Margo15,341F-785R-Margo16,341F-785R-Margo17,341F-785R-Margo18,341F-785R-Margo19,341F-785R-Margo1,341F-785R-Margo20,341F-785R-Margo21,341F-785R-Margo22,341F-785R-Margo23,341F-785R-Margo24,341F-785R-Margo25,341F-785R-Margo26,341F-785R-Margo27,341F-785R-Margo28,341F-785R-Margo29,341F-785R-Margo2,341F-785R-Margo30,341F-785R-Margo31,341F-785R-Margo32,341F-785R-Margo33,341F-785R-Margo34,341F-785R-Margo35,341F-785R-Margo36,341F-785R-Margo37,341F-785R-Margo38,341F-785R-Margo39,341F-785R-Margo3,341F-785R-Margo40,341F-785R-Margo41,341F-785R-Margo42,341F-785R-Margo43,341F-785R-Margo44,341F-785R-Margo45,341F-785R-Margo46,341F-785R-Margo47,341F-785R-Margo48,341F-785R-Margo49,341F-785R-Margo4,341F-785R-Margo50,341F-785R-Margo51,341F-785R-Margo52,341F-785R-Margo53,341F-785R-Margo54,341F-785R-Margo55,341F-785R-Margo56,341F-785R-Margo57,341F-785R-Margo58,341F-785R-Margo59,341F-785R-Margo5,341F-785R-Margo60,341F-785R-Margo61,341F-785R-Margo62,341F-785R-Margo63,341F-785R-Margo64,341F-785R-Margo65,341F-785R-Margo66,341F-785R-Margo67,341F-785R-Margo68,341F-785R-Margo69,341F-785R-Margo6,341F-785R-Margo70,341F-785R-Margo71,341F-785R-Margo72,341F-785R-Margo73,341F-785R-Margo74,341F-785R-Margo75,341F-785R-Margo76,341F-785R-Margo77,341F-785R-Margo78,341F-785R-Margo79,341F-785R-Margo7,341F-785R-Margo80,341F-785R-Margo81,341F-785R-Margo82,341F-785R-Margo83,341F-785R-Margo84,341F-785R-Margo85,341F-785R-Margo86,341F-785R-Margo87,341F-785R-Margo88,341F-785R-Margo89,341F-785R-Margo8,341F-785R-Margo90,341F-785R-Margo91,341F-785R-Margo92,341F-785R-Margo93,341F-785R-Margo94,341F-785R-Margo95,341F-785R-Margo96,341F-785R-Margo97,341F-785R-Margo98,341F-785R-Margo99,341F-785R-Margo9
341F-785R-Margo100,0,0.783075263,0.30270581,0.387184386,0.325646184,0.364046846,0.310246222,0.316709565,0.223994324,0.389515849,0.474864092,0.217104379,0.301956655,0.309249417,0.374857657,0.261280061,0.329547529,0.652008572,0.34999401,0.331478136,0.455502175,0.282560891,0.530434966,0.469743597,0.359863507,0.391861628,0.330457238,0.385926744,0.596061727,0.332812388,0.217975305,0.387447429,0.335764857,0.343193301,0.17234233,0.176569196,0.277818083,0.272827255,0.414329954,0.35366635,0.328347144,0.400131661,0.417431644,0.253857377,0.397954171,0.403521888,0.250903575,0.555757343,0.329385397,0.263376665,0.421850453,0.303012301,0.421075191,0.288047713,0.232093844,0.402171186,0.283211526,0.318881573,0.28198396,0.278777864,0.535083245,0.333925448,0.227540379,0.313937712,0.316033999,0.200286786,0.364035382,0.260283864,0.219786302,0.233303337,0.327763999,0.245268224,0.429669482,0.34055099,0.222857957,0.637335903,0.269371445,0.433894228,0.315976657,0.253014122,0.329118983,0.342727365,0.349453497,0.335632987,0.598322247,0.36351325,0.264493806,0.27145862,0.424598043,0.268343327,0.328922586,0.386519369,0.241499789,0.264723252,0.454919021,0.217523759,0.278324784,0.25767345,0.225450971,0.325397308,0.32705418,0.308199414,0.303165967,0.233226974,0.290998113,0.32146356,0.313053716
341F-785R-Margo101,0.783075263,0,0.897208766,0.979600268,0.751703875,0.931618687,0.742054536,0.896058099,0.739794151,0.591656749,0.652003621,0.810762206,0.720765523,0.678493249,0.900830286,0.719919864,0.652747135,0.250086138,0.893642811,0.755529755,0.592964451,0.726598931,0.607035496,0.555210981,0.912578477,0.787108368,0.871807698,0.963867592,0.341980802,0.695008177,0.833194803,0.611297157,0.838992305,0.750407099,0.823040083,0.763087554,0.847002975,0.617881093,0.994992557,0.91173492,0.665138999,0.954189021,0.814812612,0.821942186,0.984345174,0.656156938,0.821377616,0.873858441,0.907918262,0.921170946,0.983597626,0.637697298,0.98421629,0.746264096,0.782120243,0.651675353,0.926198123,0.773597371,0.834142036,0.830561287,0.877429095,0.665256364,0.831961065,0.88780861,0.917623869,0.823544253,0.653831499,0.82799569,0.872877465,0.849983176,0.974379906,0.860135742,0.933433485,0.674537493,0.798271113,0.588543114,0.911574848,0.625786026,0.785961285,0.876943512,0.952504624,0.931852817,0.954343427,0.955797724,0.307489171,0.909051068,0.9352091,0.850899617,0.907812184,0.906322064,0.864985689,0.78779124,0.784898098,0.897537628,0.966549199,0.725125891,0.647735783,0.764049467,0.790002503,0.943168636,0.932325282,0.731905114,0.904515295,0.754612356,0.862586366,0.942255949,0.848249397
341F-785R-Margo102,0.30270581,0.897208766,0,0.419240236,0.428519641,0.290209867,0.435472943,0.369873403,0.308649886,0.481179781,0.568890447,0.296019523,0.344849755,0.394642534,0.358417904,0.341648574,0.425580306,0.758455249,0.420013915,0.369859086,0.580113994,0.388378626,0.570252876,0.569055151,0.289122598,0.395169711,0.273434449,0.321246348,0.659774232,0.468999986,0.294099311,0.433342871,0.387585901,0.465221165,0.298854427,0.357251126,0.33329184,0.452944916,0.413631785,0.294159968,0.407754006,0.386680256,0.418923216,0.283286199,0.436493239,0.417112689,0.323083112,0.589928308,0.354891402,0.251418185,0.405490533,0.414569383,0.428686992,0.342571709,0.29364877,0.514118126,0.26331725,0.394475805,0.311297155,0.299930574,0.500026824,0.452581598,0.363003598,0.278898151,0.324994408,0.309463428,0.438130622,0.311945123,0.29183767,0.266306285,0.362103172,0.29705347,0.465203904,0.411473119,0.316424558,0.717546493,0.300479516,0.445685871,0.356819902,0.301060913,0.288613762,0.325940001,0.174281276,0.298943358,0.720282889,0.305186141,0.298178518,0.282377382,0.377662236,0.366331959,0.313529607,0.396059215,0.287415453,0.293758208,0.396373127,0.358745668,0.382051592,0.306487029,0.356602745,0.390211555,0.313313712,0.469778064,0.314828957,0.352785327,0.298110994,0.284451036,0.350977149
341F-785R-Margo103,0.387184386,0.979600268,0.419240236,0,0.527119831,0.368644152,0.532883512,0.292539609,0.479096787,0.608896919,0.675741135,0.395127255,0.497735495,0.541964892,0.419738106,0.518231345,0.546776434,0.854330443,0.470374205,0.530346162,0.681177898,0.479655021,0.712082624,0.682231738,0.387827225,0.546142931,0.376450998,0.288735658,0.811403829,0.556450218,0.351844983,0.593710182,0.465882414,0.531943493,0.38746398,0.37584888,0.408053896,0.504998794,0.40906542,0.389018335,0.572363194,0.356746924,0.558303354,0.417432552,0.272468489,0.598379818,0.417047072,0.561187225,0.374192579,0.293188915,0.369520439,0.541776725,0.423848958,0.489556695,0.47634695,0.610824308,0.34470518,0.492709318,0.405763232,0.422863704,0.639458942,0.615179691,0.3981919,0.333432035,0.318641692,0.371405862,0.621618218,0.413761613,0.342469034,0.350452549,0.244738861,0.345379191,0.565784686,0.546858646,0.456520645,0.812518091,0.315175164,0.669400578,0.472448596,0.344251361,0.417217181,0.35366555,0.352528296,0.302452902,0.823067218,0.442925323,0.254548719,0.392237785,0.382834487,0.261796749,0.402362706,0.508890666,0.443864786,0.343158716,0.533754505,0.453950157,0.520467904,0.4409636,0.41577928,0.25881093,0.30433636,0.526341481,0.297561177,0.442557569,0.43503094,0.339994562,0.464879102
341F-785R-Margo104,0.325646184,0.751703875,0.428519641,0.527119831,0,0.299836675,0.150688624,0.445716479,0.28559216,0.256009574,0.419285546,0.287318822,0.255327493,0.312247285,0.28873789,0.267223812,0.293595614,0.553530282,0.328299717,0.178590233,0.449034873,0.242749363,0.511057355,0.397762713,0.435767145,0.290838883,0.431003286,0.484965269,0.588838471,0.319438965,0.352206958,0.306254038,0.203614935,0.34507466,0.29776038,0.336271785,0.257663415,0.255705584,0.526717286,0.437271825,0.346297596,0.376370427,0.346225731,0.310654789,0.545754378,0.335791234,0.359168931,0.602004297,0.236539918,0.389251348,0.46844207,0.271494989,0.409537056,0.29457943,0.32229579,0.262803997,0.447539442,0.348697121,0.326350951,0.283395276,0.511812632,0.356385313,0.302306573,0.394790173,0.340834897,0.333652103,0.318016868,0.312218185,0.327723628,0.372329615,0.476500806,0.347181648,0.455486557,0.212171531,0.270211142,0.598594739,0.420583465,0.400346966,0.331583081,0.374531548,0.440913505,0.351720304,0.488177585,0.478773713,0.547345183,0.378922974,0.387674835,0.386845053,0.431776481,0.439247035,0.310085765,0.374798021,0.292247895,0.405765064,0.474228066,0.29874924,0.332497295,0.306333398,0.249367172,0.504437814,0.420127842,0.361160449,0.43697437,0.339047582,0.377207359,0.452132403,0.210178104
341F-785R-Margo105,0.364046846,0.931618687,0.290209867,0.368644152,0.299836675,0,0.302302953,0.402385332,0.344448871,0.455435413,0.530695379,0.201598589,0.314929999,0.467559517,0.233368236,0.390969774,0.418683831,0.736507016,0.348242882,0.294533879,0.603846984,0.347692663,0.680298951,0.62640127,0.275290734,0.387237299,0.328590212,0.252749489,0.749959068,0.447510378,0.272724399,0.452492724,0.242492231,0.4845603,0.325131492,0.347874154,0.191761652,0.410266148,0.445183386,0.294056756,0.451770165,0.223774122,0.431040133,0.328142125,0.428601204,0.45386807,0.337185997,0.587298623,0.192048804,0.269205835,0.40517241,0.412393194,0.378160064,0.309790765,0.317752537,0.40458772,0.271427657,0.373172313,0.261932203,0.231978546,0.586385764,0.507375189,0.314391071,0.28911997,0.187130829,0.251279667,0.473108146,0.219537773,0.218668002,0.280604812,0.325119254,0.255327777,0.473309745,0.353931069,0.270776195,0.772281408,0.279120736,0.531847976,0.331739199,0.287494972,0.350013027,0.195572354,0.288181718,0.293251357,0.725943445,0.340612737,0.232443103,0.291118763,0.383561863,0.319218704,0.228379055,0.418808179,0.293901726,0.246747664,0.441182333,0.359584035,0.48052591,0.324158618,0.310716196,0.349121508,0.232266322,0.50221952,0.224985306,0.443349924,0.339406261,0.292080783,0.211285073
341F-785R-Margo106,0.310246222,0.742054536,0.435472943,0.532883512,0.150688624,0.302302953,0,0.491606722,0.26868927,0.291224483,0.380673942,0.252911742,0.257503205,0.33164103,0.289106762,0.25551606,0.256760608,0.547251583,0.345210306,0.191469045,0.422076529,0.233766293,0.509608211,0.483956701,0.424201322,0.30921599,0.438873824,0.457303118,0.571502729,0.262095426,0.327322615,0.2688587,0.171094892,0.336663454,0.312317293,0.317875415,0.224387908,0.237510678,0.564031065,0.413235772,0.332737252,0.334444405,0.371565981,0.338281798,0.585447719,0.285752737,0.314605302,0.59916466,0.251073423,0.401629957,0.525071181,0.249807582,0.463001319,0.265605629,0.291228134,0.214027063,0.431556013,0.299588991,0.290953207,0.278045554,0.550390388,0.349448751,0.287226727,0.407736911,0.331032201,0.31256461,0.331109282,0.275857963,0.298700126,0.365480086,0.499787713,0.329734815,0.475448601,0.196032303,0.228581126,0.602308663,0.418454841,0.382790645,0.304248706,0.369057819,0.473638653,0.334007819,0.503852609,0.459419849,0.534814105,0.410926244,0.400529288,0.346107887,0.439572781,0.45972089,0.291111134,0.365538745,0.241318431,0.384633695,0.491524451,0.237747395,0.351612466,0.284463492,0.274636169,0.496956917,0.402892183,0.350184338,0.414176965,0.352294888,0.420693994,0.429006481,0.171830492
341F-785R-Margo107,0.316709565,0.896058099,0.369873403,0.292539609,0.445716479,0.402385332,0.491606722,0,0.406314998,0.519352769,0.62327538,0.354442407,0.436672737,0.458391984,0.376091504,0.462820326,0.508326061,0.771589682,0.397245859,0.435365335,0.642370369,0.422153984,0.6247804,0.561886959,0.417474225,0.457745268,0.367991936,0.394989084,0.714367582,0.526192818,0.328917596,0.531482707,0.449513872,0.513328539,0.300147036,0.364386679,0.388734019,0.457339435,0.376193472,0.41857002,0.530448291,0.441161352,0.520656622,0.312849446,0.23060631,0.534972612,0.412536736,0.571499279,0.352021874,0.260719347,0.345033137,0.475400883,0.340565829,0.448478124,0.431200206,0.57368452,0.37615553,0.4861888,0.400138032,0.368553034,0.562489626,0.541117989,0.330817001,0.302167799,0.36344745,0.339921797,0.528237413,0.388377052,0.320909245,0.338030477,0.333062357,0.329465735,0.534097237,0.500258234,0.411855329,0.745338962,0.3150584,0.578837953,0.450629346,0.353455344,0.361237344,0.367477368,0.381810421,0.366057491,0.738965461,0.363438572,0.304832286,0.397177821,0.428082189,0.28235397,0.40092922,0.455697345,0.386597788,0.350841981,0.48804505,0.414011737,0.420472759,0.404336289,0.362180117,0.371991188,0.351419577,0.487452462,0.372582952,0.337111783,0.338899698,0.365076189,0.420001758
341F-785R-Margo10,0.223994324,0.739794151,0.308649886,0.479096787,0.28559216,0.344448871,0.26868927,0.406314998,0,0.266990064,0.43015904,0.208389594,0.182779548,0.221118918,0.302376196,0.238181742,0.23896136,0.579222145,0.393189526,0.229858748,0.439570623,0.194992991,0.437358867,0.433242864,0.362446181,0.277091903,0.26781044,0.392994086,0.498443434,0.291053483,0.249884062,0.264014699,0.330507398,0.292457615,0.269579935,0.219812221,0.257950586,0.234314341,0.414275467,0.285079139,0.297212244,0.407850992,0.366118242,0.19645186,0.496994966,0.27162136,0.277305295,0.572454427,0.34542437,0.268569102,0.434379516,0.225247588,0.482599167,0.212340472,0.221563624,0.339490776,0.330259416,0.244288188,0.272986981,0.241343508,0.441303462,0.305345582,0.302339857,0.294086255,0.335218372,0.212602105,0.310121697,0.253016834,0.266833834,0.273463492,0.392078836,0.249215926,0.405488746,0.263172448,0.212979943,0.585594774,0.306233352,0.335506331,0.2364798,0.301727915,0.339497816,0.341337917,0.352595028,0.352193048,0.543845067,0.303882871,0.353997409,0.300737777,0.373337856,0.348114889,0.29741397,0.281281532,0.160575603,0.304358673,0.370089611,0.151246617,0.244532555,0.185639647,0.167959213,0.406615842,0.346173147,0.301138303,0.343212835,0.241126357,0.323489834,0.304113354,0.311582475
341F-785R-Margo11,0.389515849,0.591656749,0.481179781,0.608896919,0.256009574,0.455435413,0.291224483,0.519352769,0.266990064,0,0.312672232,0.339030972,0.246406426,0.25996348,0.443344547,0.282176402,0.20936236,0.386425604,0.480948335,0.250136537,0.336882992,0.274832633,0.41571683,0.3159801,0.498703236,0.311945242,0.477788687,0.549045842,0.400523753,0.266756607,0.418700179,0.15664091,0.382417603,0.333386489,0.381082344,0.401900645,0.377507176,0.170182629,0.568330349,0.487277175,0.259522864,0.513017584,0.383237502,0.350407197,0.628217249,0.208154561,0.423419536,0.627680396,0.423917423,0.45819612,0.568303061,0.173897132,0.543112255,0.323275577,0.344649017,0.218624803,0.510141271,0.355990745,0.393469909,0.347473216,0.488786691,0.255724641,0.397170025,0.467310108,0.45328814,0.384469798,0.204882501,0.377399316,0.387683439,0.444748468,0.561209441,0.409991585,0.50702236,0.204942993,0.342772724,0.435000245,0.451272306,0.234303999,0.342211319,0.456912173,0.495055718,0.456088005,0.515059383,0.522046348,0.375967099,0.466079336,0.460385893,0.460483463,0.452280797,0.512634717,0.403334382,0.376394295,0.311744349,0.476885203,0.499776718,0.279609405,0.23791449,0.329867315,0.31106979,0.571863704,0.498279224,0.326064635,0.515557621,0.358350713,0.440393662,0.511724749,0.387999541
